ano,mes,obitos_infantis
2008,1,183
2008,2,167
2008,3,187
2008,4,222
2008,5,176
2008,6,172
2008,7,168
2008,8,164
2008,9,147
2008,10,162
2008,11,159
2008,12,202
2009,1,166
2009,2,145
2009,3,179
2009,4,205
2009,5,191
2009,6,185
2009,7,187
2009,8,193
2009,9,157
2009,10,172
2009,11,150
2009,12,154
2010,1,189
2010,2,151
2010,3,188
2010,4,159
2010,5,182
2010,6,172
2010,7,159
2010,8,174
2010,9,169
2010,10,159
2010,11,160
2010,12,150
2011,1,188
2011,2,155
2011,3,179
2011,4,189
2011,5,177
2011,6,191
2011,7,165
2011,8,162
2011,9,150
2011,10,138
2011,11,140
2011,12,178
2012,1,161
2012,2,144
2012,3,182
2012,4,187
2012,5,181
2012,6,176
2012,7,187
2012,8,178
2012,9,162
2012,10,154
2012,11,164
2012,12,148
2013,1,141
2013,2,133
2013,3,173
2013,4,182
2013,5,178
2013,6,180
2013,7,161
2013,8,171
2013,9,173
2013,10,128
2013,11,134
2013,12,184
2014,1,178
2014,2,160
2014,3,202
2014,4,167
2014,5,180
2014,6,161
2014,7,177
2014,8,139
2014,9,138
2014,10,160
2014,11,140
2014,12,152
2015,1,135
2015,2,144
2015,3,184
2015,4,165
2015,5,173
2015,6,162
2015,7,155
2015,8,163
2015,9,156
2015,10,159
2015,11,155
2015,12,163
2016,1,156
2016,2,150
2016,3,171
2016,4,167
2016,5,186
2016,6,184
2016,7,171
2016,8,134
2016,9,143
2016,10,139
2016,11,142
2016,12,151
2017,1,151
2017,2,139
2017,3,152
2017,4,179
2017,5,170
2017,6,157
2017,7,169
2017,8,171
2017,9,143
2017,10,133
2017,11,155
2017,12,175
2018,1,152
2018,2,146
2018,3,137
2018,4,150
2018,5,159
2018,6,145
2018,7,159
2018,8,160
2018,9,148
2018,10,158
2018,11,145
2018,12,166
2019,1,156
2019,2,152
2019,3,137
2019,4,179
2019,5,164
2019,6,150
2019,7,150
2019,8,125
2019,9,136
2019,10,132
2019,11,149
2019,12,148
2020,1,134
2020,2,139
2020,3,160
2020,4,128
2020,5,121
2020,6,111
2020,7,107
2020,8,130
2020,9,111
2020,10,123
2020,11,115
2020,12,126
